Timestamp,Enrollment number,Electrical Machines 1,Digital Electronics and Circuits,Design of Electronic Circuits,Control Systems,Engineering Analysis and Design,Elective - Economics,Elective - Sociology,Electrical Machines 2,Microprocessors and Peripheral Devices,Power Transmission and Distribution,Applied Instrumentation,Electrical and Electronic Materials,Power System Analysis and Control,Power Electronics,Advanced Control Systems,Technical Communication,Elective - Digital Signal Processing,Elective - Data Structures,Elective - Embedded Systems,Elective - Microcontrollers,Elective - Digital Control Systems,Industry Oriented Problem,Electric Drives,Protection and Switchgear,General Viva,Educational Tour,Elective-Fuzzy Logics,Elective-Optimization Technique,Elective-Utilization and Traction,Tutorial Frequency,Course Projects,Inclusion of Industry related curriculum,Frequency of lecture hours,Inclusion of Presentation and Reports.,Inclusion of Research and pure Science related Topics
3/25/2017 22:15:35,14115008,5,5,4,5,4,5,3,5,5,4,3,4,4,4,5,5,4,4,4,4,3,4,4,3,1,5,4,4,3,4,4,5,3,3,4
3/25/2017 22:17:18,14115014,3,5,5,5,3,2,2,4,5,3,3,2,3,4,4,5,5,4,5,5,5,3,4,2,1,5,4,2,2,3,3,4,3,3,4
3/25/2017 22:17:20,14115074,3,5,5,5,3,4,3,3,4,3,3,4,3,4,4,4,4,5,,,,2,3,3,3,3,4,3,3,3,3,4,3,3,4
3/25/2017 22:18:05,14115038,2,4,4,4,5,5,3,3,5,3,3,2,4,4,4,4,4,5,4,4,5,5,5,5,5,3,3,4,5,1,3,3,1,4,3
3/25/2017 22:18:57,14115086,4,5,5,5,4,3,1,4,5,3,3,3,3,5,5,2,5,3,5,5,5,4,4,3,1,4,5,3,3,1,5,5,3,5,5
3/25/2017 22:21:12,14115123,5,5,5,5,5,4,2,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,4,4,2,5,5,5,3,5
3/25/2017 22:21:33,14115006,3,4,5,5,3,4,4,4,4,4,3,3,4,2,5,4,3,2,2,5,3,1,3,3,1,5,3,4,4,3,3,3,3,4,4
3/25/2017 22:22:53,14115118,4,5,5,5,2,5,,4,5,4,3,3,4,5,5,4,,4,,,,4,4,3,3,3,5,,,3,4,4,3,3,5
3/25/2017 22:26:38,14115075,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,2,1
3/25/2017 22:33:13,14115036,5,4,4,5,4,3,,5,4,5,4,4,4,4,5,4,,,,4,,3,5,4,2,5,,4,,3,1,1,3,2,4
3/25/2017 22:37:06,14115057,4,4,5,5,2,3,3,4,5,3,2,2,3,3,4,2,3,4,3,3,3,1,4,3,1,3,4,4,3,3,4,5,3,4,4
3/25/2017 22:40:38,14115082,3,5,5,4,3,4,,4,5,4,4,3,4,3,4,3,,4,,,,4,5,4,3,4,4,,,3,5,5,3,5,4
3/25/2017 22:48:27,14115078,4,3,4,4,2,2,1,3,4,2,2,3,3,4,4,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/25/2017 22:51:47,14115128,5,3,4,5,5,5,5,5,5,5,4,3,5,5,5,2,4,5,4,5,5,2,5,5,1,5,5,4,4,2,3,5,3,1,4
3/25/2017 22:52:48,14115063,4,4,4,4,2,4,2,4,3,4,2,2,4,4,3,4,3,4,3,3,,3,4,3,4,5,3,3,3,2,2,4,2,2,3
3/25/2017 22:53:02,14115061,3,4,3,4,3,4,3,3,4,3,1,1,3,2,4,3,5,5,4,3,3,3,3,3,1,5,4,4,3,3,5,3,3,4,4
3/25/2017 22:54:55,14115066,3,4,4,3,2,1,,4,3,3,3,2,3,3,3,1,2,,,3,,1,3,3,1,5,,,,2,1,2,4,2,1
3/25/2017 22:56:39,14115080,4,3,4,4,4,4,,4,4,5,4,3,4,4,5,2,,4,4,4,4,2,3,4,1,5,3,4,4,3,3,4,2,4,4
3/25/2017 23:08:02,14115035,5,4,3,5,5,4,3,3,1,4,4,4,5,5,3,1,3,1,3,3,3,5,3,3,3,5,3,5,3,1,1,4,1,4,4
3/25/2017 23:16:09,14115139,4,5,5,4,1,3,2,4,3,4,4,2,2,5,3,1,4,2,3,4,3,1,3,2,5,1,2,1,2,3,5,5,3,1,5
3/25/2017 23:18:25,14115092,5,5,5,5,5,5,4,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,3,3,3,3,3,4,3,3,3,3,3
3/26/2017 0:23:50,14115026,4,4,4,5,3,5,,5,3,3,4,3,5,5,4,5,,5,,,,5,5,5,5,5,5,,,3,5,5,3,2,2
3/26/2017 0:56:41,14115125,3,3,3,3,3,5,,3,2,4,2,3,3,4,3,5,,,,,,4,3,2,1,5,,5,,1,3,4,2,3,2
3/26/2017 1:35:39,14115131,5,3,3,3,4,3,3,5,3,5,4,2,3,4,2,5,3,5,3,3,2,5,4,4,2,5,2,1,5,1,5,5,1,3,2
3/26/2017 1:38:58,14115117,1,2,2,3,4,5,4,1,1,1,1,1,2,5,3,5,5,4,1,1,1,3,2,2,1,5,5,5,3,3,3,3,3,3,3
3/26/2017 1:39:30,14115116,5,4,4,4,4,4,3,4,5,5,4,3,4,4,4,4,,3,,,,4,3,4,3,5,4,,,3,5,5,3,4,4
3/26/2017 1:46:11,13116045,3,5,1,5,3,5,3,3,5,3,4,3,3,4,3,4,5,3,3,2,5,2,3,2,4,5,3,2,4,3,4,3,2,4,2
3/26/2017 1:51:49,14116067,3,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,3,5,3,3,3,5,3,3,3,5,3,3,3,3,5,4,3,4,4
3/26/2017 1:53:37,14114068,1,2,4,1,3,5,4,1,2,2,2,3,3,3,2,2,3,3,3,3,3,4,1,1,5,2,2,3,3,2,2,2,3,3,2
3/26/2017 2:15:43,15115016,4,5,5,5,4,4,,5,5,4,3,3,5,5,5,4,,5,,,,4,5,5,1,5,5,,,3,5,5,1,2,5
3/26/2017 2:30:06,15115113,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/26/2017 2:35:21,14115039,4,4,4,4,3,4,2,4,4,4,4,3,3,4,4,5,3,4,4,4,3,5,4,3,5,4,3,3,3,2,4,3,3,3,2
